Base,1,Shohei Ohtani,Los Angeles Angels,,,,,,
Base,2,Craig Kimbrel,Chicago White Sox,,,,,,
Base,3,Huascar Ynoa,Atlanta Braves,,,,,,
Base,4,Travis d'Arnaud,Atlanta Braves,,,,,,
Base,5,Rougned Odor,New York Yankees,,,,,,
Base,6,Jazz Chisholm Jr.,Miami Marlins,- Future Stars,,,,,
Base,7,Bobby Dalbec,Boston Red Sox,- Future Stars,,,,,
Base,8,Xander Bogaerts,Boston Red Sox,,,,,,
Base,9,Elieser Hernandez,Miami Marlins,,,,,,
Base,10,Archie Bradley,Philadelphia Phillies,,,,,,
Base,11,Jesus Luzardo,Miami Marlins,,,,,,
Base,12,Gavin Sheets,Chicago White Sox,RC,,,,,
Base,13,Freddy Peralta,Milwaukee Brewers,,,,,,
Base,14,Amed Rosario,Cleveland Guardians,,,,,,
Base,15,Jose Iglesias,Boston Red Sox,,,,,,
Base,16,Tommy Pham,San Diego Padres,,,,,,
Base,17,Gregory Soto,Detroit Tigers,,,,,,
Base,18,Emmanuel Rivera,Kansas City Royals,RC,,,,,
Base,19,Brian Anderson,Miami Marlins,,,,,,
Base,20,Jake Cousins,Milwaukee Brewers,RC,,,,,
Base,21,Shane Bieber,Cleveland Guardians,,,,,,
Base,22,Bryan De La Cruz,Miami Marlins,RC,,,,,
Base,23,Gio Urshela,New York Yankees,,,,,,
Base,24,Trevor Rogers,Miami Marlins,- Rookie Cup,,,,,
Base,25,Vidal Brujan,Tampa Bay Rays,RC,,,,,
Base,26,Devin Williams,Milwaukee Brewers,,,,,,
Base,27,Mike Trout,Los Angeles Angels,,,,,,
Base,28,Cesar Hernandez,Chicago White Sox,,,,,,
Base,29,Jose Berrios,Toronto Blue Jays,,,,,,
Base,30,Kyle Muller,Atlanta Braves,RC,,,,,
Base,31,Matt Manning,Detroit Tigers,RC,,,,,
Base,32,Taylor Rogers,Minnesota Twins,,,,,,
Base,33,Danny Jansen,Toronto Blue Jays,,,,,,
Base,34,Adam Wainwright,St. Louis Cardinals,,,,,,
Base,35,Gerrit Cole,New York Yankees,,,,,,
Base,36,Jorge Alfaro,Miami Marlins,,,,,,
Base,37,Michael Conforto,New York Mets,,,,,,
Base,38,Mason Thompson,Washington Nationals,RC,,,,,
Base,39,Andrew Miller,St. Louis Cardinals,,,,,,
Base,40,David Price,Los Angeles Dodgers,,,,,,
Base,41,Clayton Kershaw,Los Angeles Dodgers,,,,,,
Base,42,Mitch Moreland,Oakland Athletics,,,,,,
Base,43,Josiah Gray,Washington Nationals,RC,,,,,
Base,44,Didi Gregorius,Philadelphia Phillies,,,,,,
Base,45,Sonny Gray,Cincinnati Reds,,,,,,
Base,46,Raimel Tapia,Colorado Rockies,,,,,,
Base,47,Alex Reyes,St. Louis Cardinals,,,,,,
Base,48,Vladimir Guerrero Jr./ Salvador Perez / Shohei Ohtani,Toronto Blue Jays,- LL: AL Home Runs,,,,,
Base,48,Vladimir Guerrero Jr./ Salvador Perez / Shohei Ohtani,Kansas City Royals,- LL: AL Home Runs,,,,,
Base,48,Vladimir Guerrero Jr./ Salvador Perez / Shohei Ohtani,Los Angeles Angels,- LL: AL Home Runs,,,,,
Base,49,Brett Gardner,New York Yankees,,,,,,
Base,50,Mookie Betts,Los Angeles Dodgers,,,,,,
Base,51,Zack Greinke,Houston Astros,,,,,,
Base,52,Greg Holland,Kansas City Royals,,,,,,
Base,53,Hanser Alberto,Kansas City Royals,,,,,,
Base,54,Lourdes Gurriel Jr.,Toronto Blue Jays,,,,,,
Base,55,Robbie Grossman,Detroit Tigers,,,,,,
Base,56,Ke'Bryan Hayes,Pittsburgh Pirates,- Future Stars,,,,,
Base,57,Kyle Gibson,Philadelphia Phillies,,,,,,
Base,58,Lars Nootbaar,St. Louis Cardinals,RC,,,,,
Base,59,Trea Turner / Juan Soto / Bryce Harper,Los Angeles Dodgers,- LL: NL Batting Average,,,,,
Base,59,Trea Turner / Juan Soto / Bryce Harper,Washington Nationals,- LL: NL Batting Average,,,,,
Base,59,Trea Turner / Juan Soto / Bryce Harper,Philadelphia Phillies,- LL: NL Batting Average,,,,,
Base,60,Mike Moustakas,Cincinnati Reds,,,,,,
Base,61,Jakson Reetz,Washington Nationals,RC,,,,,
Base,62,Luke Williams,Philadelphia Phillies,RC,,,,,
